Observed,item1,item2,item3,item4,item5,item6,item7,item8,item9
Umekita1,1,1,1,1,1,1,1,1,1
Umekita2,0,0,1,1,1,1,1,1,0
Umekita3,1,0,0,0,0,0,1,0,0
Umekita4,1,1,1,1,1,1,1,1,0
Umekita5,1,0,1,1,0,0,0,0,0
Umekita6,0,0,0,0,0,0,0,0,0
Umekita7,1,1,1,1,1,0,0,0,0
Umekita8,0,1,1,1,1,1,0,0,0
Umekita9,0,1,0,0,0,0,0,0,0
Umekita10,1,1,1,1,1,1,1,1,0
Umekita11,0,0,0,0,0,0,0,0,0
Umekita12,1,1,1,1,1,1,1,1,0
Umekita13,1,1,1,0,1,1,1,1,0
Umekita14,0,0,1,1,0,1,0,0,0
Umekita15,0,1,0,0,0,0,0,0,0
Umekita16,1,1,1,1,1,0,0,0,0
Umekita17,1,1,1,1,1,1,1,1,0
Umekita18,0,1,1,1,1,1,1,1,0
Umekita19,0,1,1,0,1,1,1,1,0
Umekita20,1,1,1,1,1,1,1,1,0
Umekita21,0,1,0,0,0,0,1,0,0
Umekita22,1,1,1,1,1,1,1,1,0
Umekita23,0,1,1,1,1,1,1,1,0
Umekita24,0,1,1,1,1,0,1,1,0
Umekita25,0,1,1,0,0,0,0,0,0
Umekita26,1,1,1,1,0,0,0,0,0
Umekita27,1,1,1,1,1,1,1,1,0
Umekita28,1,1,1,1,0,0,0,0,0
Umekita29,0,0,1,1,0,1,1,1,0
Umekita30,0,0,1,0,0,0,1,0,0
Umekita31,1,1,0,0,0,0,0,0,0
Umekita32,0,1,1,1,1,1,1,1,0
Kyoubun1,1,1,0,1,1,0,1,1,0
Kyoubun2,1,1,1,0,1,0,1,1,0
Kyoubun3,0,1,0,0,1,0,1,0,0
Kyoubun4,1,1,1,0,0,0,1,0,0
Kyoubun5,0,1,1,1,1,0,0,0,0
Kyoubun6,0,0,1,1,1,0,0,0,0
Kyoubun7,0,1,0,0,1,0,1,0,0
Kyoubun8,0,1,1,0,1,0,1,1,0
Kyoubun9,0,0,1,1,1,1,1,1,0
Kyoubun10,1,1,0,0,0,0,1,0,0
Kyoubun11,0,1,1,0,1,0,1,1,0
Kyoubun12,1,1,0,0,1,0,1,0,0
Kyoubun13,1,1,1,1,1,1,1,1,0
Kyoubun14,0,1,1,0,1,0,1,1,0
Kyoubun15,0,1,1,1,1,0,1,1,0
Kyoubun16,1,1,1,0,1,0,1,1,0
Kyoubun17,0,1,1,1,1,1,1,1,0
Kyoubun18,1,0,0,0,1,0,1,0,0
ivent111,1,1,1,0,1,1,1,0,0
ivent112,1,0,1,1,1,1,1,1,0
ivent113,0,0,0,1,1,0,1,0,0
ivent114,1,0,1,0,0,1,1,1,0
ivent115,1,0,0,0,0,0,1,0,0
ivent116,0,1,1,1,0,0,1,1,1
ivent117,0,0,1,0,0,0,1,1,0
ivent118,1,0,1,1,0,0,1,1,1
ivent119,1,1,1,1,1,1,1,1,0
ivent1110,1,1,1,0,0,0,1,1,0
ivent1111,0,0,1,0,1,1,1,1,0
ivent1112,0,1,0,1,0,0,1,0,0
ivent1113,0,1,1,0,1,1,1,0,0
ivent1114,0,0,1,0,0,1,1,0,0
ivent1115,1,1,1,1,1,1,1,1,1
ivent1116,1,1,1,1,1,1,1,1,1
ivent1117,0,1,1,1,0,0,1,0,0
ivent1118,1,1,1,1,1,0,1,1,1
ivent1119,0,1,1,1,0,0,1,0,0
ivent1120,1,0,1,1,0,0,1,0,0
ivent1121,0,1,0,0,0,1,1,0,0
ivent1122,0,0,0,0,1,1,1,0,0
ivent1123,0,1,1,0,1,0,1,1,0
ivent1124,0,0,1,0,0,0,1,1,0
ivent1125,1,1,1,0,1,0,1,1,1
ivent1126,0,1,1,0,0,0,1,1,0
ivent1127,0,0,0,0,0,0,0,0,0
ivent1128,0,1,0,0,1,1,1,0,0
ivent1129,1,1,1,1,1,0,1,0,1
ivent1130,1,1,1,0,1,1,1,1,0
ivent1131,1,1,1,1,1,1,1,1,0
ivent1132,0,0,0,1,1,0,1,0,0
ivent1133,1,1,0,1,1,0,1,1,0
ivent1134,0,0,0,0,0,0,1,0,0
ivent1135,0,1,0,0,0,0,1,0,0
ivent1136,0,0,1,1,0,0,1,0,0
ivent1137,1,0,0,0,1,1,1,0,0
ivent1138,0,1,0,0,1,0,1,1,0
ivent1139,0,1,0,0,0,0,1,0,0
ivent1140,1,1,1,0,1,0,1,1,0
ivent1141,0,1,0,0,1,0,1,1,0
ivent1142,0,0,1,0,0,0,1,0,0
ivent1143,1,1,1,1,1,0,1,1,0
ivent1144,1,0,0,0,0,1,1,0,0
ivent1145,0,0,0,0,1,0,1,1,0
ivent1146,0,0,1,0,1,0,1,0,0
ivent1147,0,0,1,0,0,0,0,1,0
ivent1148,0,0,0,0,1,0,1,1,0
ivent1149,0,0,1,0,0,0,0,1,0
ivent1150,1,0,0,0,0,0,1,0,0
ivent1151,0,0,1,0,0,0,1,0,0
ivent1152,0,0,0,0,0,0,1,1,0
ivent1153,0,0,0,0,1,1,1,0,0
ivent1154,0,0,0,0,0,0,0,1,0
ivent1155,0,0,1,0,0,0,1,1,0
ivent1156,0,0,0,0,0,1,0,0,0
